問題文,解答,選択肢1,選択肢2,選択肢3,難易度
最高峰が最も低い都道府県は？,千葉県,茨城県,千葉県,香川県,4
ウリ科の植物は？,ユウガオ,アサガオ,ヒルガオ,ユウガオ,5
部首が「一」なのは？,三,二,三,四,5
将棋の駒で、チェスのルークと同じ動かし方ができるのは？,飛,香,角,飛,4
英語ではsushiと呼ばれる日本の料理は？,寿司,孔子,数詞,寿司,1
元素記号に使われていないアルファベットは？,J,J,V,T,3
さかいでまろは何市のゆるキャラ？,坂出市,坂出市,丸亀市,堺市,1
飯野山の標高は？,422m,167m,893m,422m,3
丸亀市の人口は?,11万人,5万人,3万人,11万人,3
今治市の人口は？,15万人,15万人,20万人,9万人,5
セブン-イレブンのロゴで唯一小文字で書かれているアルファベットは？,n,e,l,n,4
次の中で一番人口が多い市は？,横浜市,横浜市,大阪市,さいたま市,3
次の中で一番人口が少ない市は？,仙台市,名古屋市,仙台市,広島市,4
新1万円札には誰の肖像が印刷される？,渋沢栄一,北里柴八郎,渋沢栄一,津田梅子,2
丸亀高校の住所は？,香川県丸亀市六番丁１,香川県丸亀市六番丁１,兵庫県神戸市東灘区魚崎北町８丁目５−１,香川県丸亀市大手町１丁目６−１,3
アルファベットは何種類？,26,24,25,26,3
偶数の素数は？,2,2,3,5,2
英単語「turtle」の意味は,亀,亀,シマウマ,犬,2
「バリィさん」は何市のゆるキャラ？,今治市,丸亀市,徳島市,今治市,1
高松市の人口は？,42万人,42万人,20万人,100万人,3
香川県で一番人口の少ない市町村は？,直島町,丸亀市,三木町,直島町,2
とり奉行骨付じゅうじゅうは何市のゆるキャラ？,丸亀市,東かがわ市,丸亀市,高松市,1
面積が日本の25倍の国はどれ？,中国,バチカン市国,中国,オーストラリア,3
活火山でない山で日本の最高峰は？,北岳,飯野山,富士山,北岳,4
Meta社が運営でないSNSは？,mixi,Threads,mixi,Instagram,2
最近流行りのAIはChat 〇〇〇？,GPT,CPI,GPT,GPK,2
日本から全く見えない星座は？,カメレオン座,かみのけ座,けんびきょう座,カメレオン座,5
オリンピックのシンボルマークの一番左の輪の色は？,黒,赤,青,黒,4
夏目漱石が「月が綺麗ですね」と訳したとされる英文は？,I love you.,Have a nice day.,I love you.,Nice to meet you.,2
常用漢字に含まれるのは？,鯨(くじら),鮫(さめ),鯆(イルカ),鯨(くじら),5
ロシア語由来の言葉は？,イクラ,イクラ,ランドセル,ブランコ,5
ため池の数日本一は？,兵庫県,兵庫県,岡山県,香川県,3
岩波書店のロゴに用いられているミレーの絵画は？,種蒔く人,落穂拾い,晩鐘,種蒔く人,4
「quiz」複数形は？,quizzes,quizs,quizes,quizzes,3
次のうち、辺と対角線の本数が等しい図形は？,正五角形,正四角形,正五角形,正六角形,4
警察官の用語で「窃盗」を表すのは？,うかんむり,にんべん,うかんむり,りっとう,5
9月の誕生石は？,サファイア,ルビー,ダイアモンド,サファイア,5
国連加盟国で面積が最も小さい国は？,モナコ,バチカン,ツバル,モナコ,5
英語で「odd number」と呼ばれるのは？,奇数,奇数,負の数,無理数,3
「虫」という漢字が元々表していた生物は？,ヘビ,ヘビ,チョウ,ヤドカリ,5
東海道新幹線で最も停車駅が少ない列車は？,のぞみ,ひかり,のぞみ,こだま,2
政令指定都市が３つある都道府県は？,神奈川県,神奈川県,福岡県,大阪府,2
世界四大珍獣に含まれ、世界三大珍獣に含まれない動物は？,ボンゴ,オカピ,コビトカバ,ボンゴ,5
漫画『ドラえもん』に登場するスネ夫の弟の名前は？,スネツグ,スネ丸,スネ吉,スネツグ,4
ひらがなの「ま」の元となった漢字は？,末,真,末,馬,4
日本全国で唯一、イオン・イオンモールがない都道府県は？,福井県,岩手県,福井県,山口県,5
「三日天下」の由来となった人物は？,明智光秀,織田信長,明智光秀,豊臣秀吉,4
ゲーム『ピクミン』シリーズで、攻撃力が高く火に強いのは？,赤ピクミン,赤ピクミン,黄ピクミン,青ピクミン,4
遊撃手とも呼ばれる野球のポジションは？,ショート,レフト,ショート,ライト,2
ホルストの組曲『惑星』で副題が｢平和をもたらす者｣なのは？,金星,水星,金星,火星,5
その値が｢人並みにおごれや｣の語呂合わせで覚えられるのは？,√3,√2,√3,√5,3
丸亀製麺の第一号店はどこの都道府県？,兵庫県,兵庫県,香川県,東京都,3
香川県のJR四国の駅で乗車人員が高松駅に次いで2番目の駅は？,坂出駅,丸亀駅,坂出駅,観音寺駅,4
香川県で1番多いコンビニエンスストアは？,ローソン,ミニストップ,セブンイレブン,ローソン,4
現在の香川県知事は誰？,池田豊人,浜田恵造,大平正芳,池田豊人,2
次のうち記号はどれ？,々,々,卍,〆,2
第100代内閣総理大臣は誰？,岸田文雄,安倍晋三,菅義偉,岸田文雄,4
現在、香川県の市の数はいくつ？,8つ,7つ,8つ,9つ,4
ここから1番近い城は？,丸亀城,高松城,備中高松城,丸亀城,1
日本初のプラスチック製トランプを製造・販売した会社は？,任天堂,ソニー,任天堂,バンダイナムコ,4
ケンブリッジ大学のステンドグラスに描かれているのは？,ベン図,ベン図,デカルト座標系,ベンゼン環,5
卑弥呼の墓という説がある箸墓古墳が位置するのは？,奈良県,大阪府,奈良県,福岡県,4
水泳のメドレーリレーで3番目の泳法は？,バタフライ,平泳ぎ,自由形,バタフライ,4
舞台『千と千尋の神隠し』で橋本環奈と共にW主演を務めたのは？,上白石萌音,土屋太鳳,小松菜奈,上白石萌音,4
動物の｢コウモリ｣を漢字で書いた時、２つの漢字に共通する部首は？,むしへん,めへん,けものへん,むしへん,4
次のポーカーの役のうち、最も強いのは？,フルハウス,ストレート,フラッシュ,フルハウス,5
昨夏、全国高等学校総合体育大会(インターハイ)が行われたのは何地方？,四国地方,北海道地方,九州地方,四国地方,2
今年の斯文祭は第何回？,第39回,第35回,第37回,第39回,1
cm（センチメートル)の漢字表記は？,糎,粁,粍,糎,4
宮崎駿監督のジブリ最新作の映画は？,君たちはどう生きるか,魔女の宅急便,君たちはどう生きるか,となりのトトロ,1
世界三大料理に数えられるのは、中華料理、フランス料理と、もう一つは？,トルコ料理,イタリア料理,日本料理,トルコ料理,4
｢ナポレオン｣や｢佐藤錦｣などの品種がある果物は？,さくらんぼ,もも,ぶどう,さくらんぼ,3
実在する水星のクレーターの名前は？,ゼアミ,ヒミコ,ゼアミ,イエヤス,5
分数の分母と分子の間に書かれる線の名前は？,括線,離線,括線,隔線,5
ピラミッド、鳥居、ダムに共通する数え方の単位は？,基,基,体,局,3
発明家・エジソンの発明品は？,ガムテープ,ガムテープ,段ボール,ステープラー,4
英語版『ドレミの歌』で「金色の太陽の滴」と歌われているのは？,レ,ド,レ,ミ,5
平均標高が最も高い大陸,南極,南アメリカ,アフリカ,南極,4
「未満」の対義語は？,超過,既満,越数,超過,3
日本の国旗に描かれている円の色として法律で定められているのは？,紅色,朱色,緋色,紅色,5
カバー株式会社が運営するVtuber事務所は？,ホロライブプロダクション,ななしいんく,にじさんじ,ホロライブプロダクション,5
ボウリングで、ストライクや高得点を狙いやすいレーンの呼称は？,チーズケーキ,プリンアラモード,チーズケーキ,チョコレートパフェ,5
孔子の『論語』に由来する言葉で、「不惑」が指しているのは？,40歳,15歳,30歳,40歳,5
1+2×12-24+12=？,13,1,0,13,2
落語で、「曼荼羅(まんだら)」と呼ばれるのは？,手拭い,扇子,看板,手拭い,5
平均海面が国土地理院の地図の標高0mの基準となっているのは何湾？,東京湾,東京湾,大阪湾,伊勢湾,3
英単語「flesh」の意味は？,肉,新鮮な,肉,着物,4
讃岐三白は塩と砂糖とあと一つは何？,綿,うどん,うちわ,綿,3
世界三大瀑布のうち、世界遺産に登録されていないのは？,ナイアガラの滝,ナイアガラの滝,ヴィクトリアの滝,イグアスの滝,4
日本で唯一、電車が走っていない都道府県は？,徳島県,茨城県,徳島県,宮崎県,4
レンタカーのナンバープレートに使われるひらがなは？,わ,か,ち,わ,4
インドの通貨単位は？,ルピー,ペソ,ランド,ルピー,4
インデックスリングをつける指は？,人差し指,人差し指,中指,薬指,5
なぞなぞです！「上は洪水、下は大火事」これなーんだ？,風呂,風呂,学校,怪談,3
気象庁の時間区分において、15時〜18時にあたるのは？,夕方,昼過ぎ,夕方,夜のはじめ頃,2
北海道の郷土料理・ジンギスカンの肉に使われる動物は？,羊,猪,鹿,羊,1
発生させたアンモニアを集めるのに適した方法はどれ？,上方置換法,水上置換法,下方置換法,上方置換法,2
「凸凹」これの読み方は？,でこぼこ,おうとつ,とつおう,でこぼこ,2
cogito ergo sum この意味は？,我思う故に我あり,私は最強だ,我思う故に我あり,学びて思わざれば則ちくらし,4
漢字で「ハンドボール」を表すのは？,送球,塁球,排球,送球,4
俳優・竹内涼真が演じた仮面ライダーは？,仮面ライダードライブ,仮面ライダー鎧武,仮面ライダードライブ,仮面ライダーゴースト,4
「曼珠沙華(まんじゅしゃげ)」は何の花のこと？,ヒガンバナ,ヒガンバナ,ボタン,スミレ,3
昼の12時の呼称が「正午」であるのに対し、夜の12時の呼称は？,正子,正子,正申,正未,4
ナトリウムが炎色反応によって示す色は？,黄色,赤色,緑色,黄色,5
